Index1,Index2,Match Count
26,25,1630
25,26,1623
7,8,1514
8,7,1512
6,7,1454
7,6,1433
5,4,1405
4,5,1400
6,5,1386
5,6,1339
18,19,1337
19,18,1337
22,23,1322
23,22,1314
19,20,1300
0,16,1266
16,0,1263
20,19,1262
1,0,1261
0,1,1257
23,24,1207
24,23,1204
9,8,1145
8,9,1144
3,4,1131
4,3,1126
26,27,1121
27,26,1120
6,8,1079
8,6,1068
17,16,1037
16,17,1034
22,21,1025
21,22,1024
3,2,1006
16,1,1004
4,6,987
2,3,984
17,18,984
18,17,979
6,4,973
7,5,966
1,16,960
29,28,955
28,29,954
5,7,947
3,5,907
14,13,902
13,14,899
25,24,895
5,3,891
24,25,877
7,9,872
9,7,866
2,1,864
17,0,862
27,25,861
0,17,855
22,20,854
25,27,852
9,10,849
1,2,842
20,22,841
10,9,833
30,29,831
29,30,823
18,20,763
26,24,752
20,18,749
20,21,747
21,20,732
10,11,730
11,10,727
22,24,723
24,26,716
8,5,715
24,22,702
4,2,699
5,8,692
2,4,691
4,7,677
3,1,673
1,3,669
7,4,665
12,13,660
28,30,660
19,17,656
6,3,652
30,28,650
3,6,646
23,25,644
13,12,639
17,19,633
25,23,632
1,17,613
17,1,600
12,11,588
14,15,582
15,14,575
16,2,574
2,0,572
2,16,571
11,12,567
9,6,561
0,2,560
6,9,559
26,23,555
31,30,548
23,26,546
23,21,544
16,18,542
18,16,537
21,23,537
2,5,532
30,31,530
5,2,527
8,10,498
10,8,491
19,22,491
0,18,489
23,20,480
27,28,480
8,4,479
18,0,477
22,19,473
3,0,470
0,3,463
20,23,462
4,8,459
31,29,455
27,29,454
28,27,444
3,7,443
7,3,437
29,31,433
20,17,431
29,27,426
11,9,425
1,4,423
9,11,418
4,1,414
19,21,413
17,20,411
7,10,408
27,24,403
16,3,402
3,16,398
9,5,396
12,14,390
21,19,390
5,9,389
16,19,389
24,27,388
2,6,381
19,16,380
10,7,376
6,2,370
13,15,368
24,21,355
12,10,354
17,2,352
14,12,346
21,24,345
26,29,344
15,13,339
26,28,337
1,18,335
27,23,335
25,22,333
28,31,333
19,0,332
31,28,332
2,17,331
18,1,331
5,1,327
10,12,327
25,28,325
1,5,320
22,25,317
8,3,316
23,27,314
0,19,313
3,8,313
25,29,313
0,4,305
28,26,298
29,26,298
18,22,297
26,22,296
16,4,290
4,9,288
19,23,288
27,30,285
23,19,284
4,0,283
22,18,282
22,26,282
6,10,281
28,25,280
9,4,279
29,25,278
6,1,271
4,16,270
24,20,264
18,21,263
3,17,262
7,2,257
