,x,y,z,r,g,b,inlinear_idx
0,-5.355873896849099,1.7018700641745113,8.275964653990867,139.0,102.0,83.0,6.0
1,-5.462416158508823,1.3640977282566022,8.51383697865562,192.0,162.0,138.0,12.0
2,-5.514805429985825,1.4563609100205037,8.488639655760855,117.0,85.0,70.0,15.0
3,3.132329805295082,2.1068764993012707,7.327740086666305,147.0,119.0,107.0,21.0
4,-5.355873896849099,1.7018700641745113,8.275964653990867,139.0,102.0,83.0,27.0
5,1.8334643594549926,2.0180418684272867,7.5262883702776024,190.0,149.0,119.0,29.0
6,-4.498655464133067,1.8412426981990169,8.064216175999805,142.0,107.0,88.0,31.0
7,-1.4436478758246156,1.604940957095394,7.998643266387321,116.0,89.0,78.0,44.0
8,-1.4495392983630466,-1.074645893653465,6.379137270042458,81.0,3.0,1.0,54.0
9,-5.269261279080379,1.6405505176762076,8.311226579526513,204.0,168.0,142.0,57.0
10,-4.641875273061236,1.6928750105411783,8.18518211372736,183.0,149.0,124.0,64.0
11,-1.3783237761654064,1.6952731982938951,7.950629097800636,173.0,137.0,113.0,65.0
12,-6.037242019359615,1.1586166216478115,8.754173010389072,179.0,142.0,113.0,68.0
13,-4.295478149680414,1.686192154477018,8.164373824762874,200.0,169.0,141.0,69.0
14,1.5292637789142427,1.6501412192785188,7.8259522832965445,139.0,98.0,76.0,79.0
15,-3.692841789808437,1.76523420425095,8.079037667954012,185.0,145.0,120.0,85.0
16,-4.471163820692872,1.7591451810742382,8.117844145476548,168.0,132.0,108.0,86.0
17,2.5457279125953907,-1.3789785680111128,6.131645527916036,157.0,182.0,163.0,88.0
18,2.5457279125953907,-1.3789785680111128,6.131645527916036,157.0,182.0,163.0,91.0
19,3.4084645102091424,2.136081946227861,7.31056200183511,143.0,120.0,106.0,97.0
20,-1.2321557706378188,-0.9080376070833632,6.51086182020508,81.0,1.0,2.0,111.0
21,-1.925858831507353,1.220615577162859,8.322921036305598,150.0,115.0,95.0,112.0
22,-1.3802558074767892,1.6290506284851527,7.98401148985065,108.0,84.0,72.0,113.0
23,-1.7994059888349139,2.2185596990738876,7.541352308612413,200.0,164.0,140.0,130.0
24,1.6941981251468876,1.9266937287961412,7.587308656340709,187.0,143.0,116.0,136.0
25,1.5615900791514086,1.831707808657038,7.666292238344995,113.0,78.0,58.0,137.0
26,-2.188166469688723,1.3687444787561676,8.26607136658157,167.0,126.0,106.0,138.0
27,4.658217361045702,1.8158809467636607,7.433396160391147,153.0,122.0,101.0,142.0
28,-0.5021013487889137,1.8387857457454977,7.760086695743146,129.0,97.0,84.0,144.0
29,4.278258559203017,2.4938036451179997,6.984579433475275,135.0,112.0,96.0,147.0
30,-0.9163313496825641,-1.2027687239730347,6.293936596968247,204.0,201.0,218.0,150.0
31,3.9822696632639114,1.7566078964169094,7.520326873274603,184.0,157.0,136.0,155.0
32,-0.7908493541001143,-1.247799364513875,6.267267077937742,89.0,4.0,1.0,159.0
33,-4.750490084251446,2.2905501275833595,7.764549352338868,161.0,121.0,95.0,162.0
34,-1.3772586735355,-1.018683681450348,6.422420840722338,163.0,197.0,232.0,163.0
35,-3.5611443928392905,1.8602414465565873,7.980483259274491,154.0,114.0,89.0,166.0
36,-3.238201201944212,1.8266615493325562,7.960599015747932,190.0,153.0,126.0,167.0
37,-1.2144649399935619,-1.0771674129529194,6.3905404845106215,172.0,193.0,222.0,175.0
38,-4.7059219504887215,1.5958834913684163,8.31536802597499,126.0,91.0,71.0,182.0
39,2.698452946836307,-1.456866889583357,6.087477283538807,180.0,198.0,176.0,186.0
40,-0.4944976423774035,-0.9926110787199315,6.442253554407773,185.0,197.0,223.0,187.0
41,-5.183316403249538,1.4832101728637752,8.40271236556908,186.0,151.0,129.0,200.0
42,2.353397154249422,-1.9197369995635956,6.143678140677205,56.0,210.0,158.0,201.0
43,2.447675094861597,-1.3560191081015347,6.169136987304346,17.0,38.0,29.0,204.0
44,-2.1120591654838976,2.598985471405545,7.27672212030046,109.0,86.0,72.0,207.0
45,3.9136174136541046,2.280525321730585,7.127125306112494,169.0,139.0,115.0,210.0
46,0.754315286709083,1.818487747054124,7.711558489443607,121.0,85.0,73.0,227.0
47,2.724389061574929,-1.489676336027767,6.072843041832203,0.0,16.0,5.0,229.0
48,-0.18643626465132954,1.6596859262218364,7.902189848731366,174.0,134.0,108.0,238.0
49,1.8468621400279648,-1.443285687756648,6.0797939194785675,185.0,203.0,191.0,239.0
50,-1.440268782379262,-0.8212459957098637,6.583319301883004,92.0,3.0,5.0,241.0
51,4.450306910134327,1.8788850375983825,7.400431685666559,93.0,73.0,62.0,242.0
52,3.9822696632639114,1.7566078964169094,7.520326873274603,184.0,157.0,136.0,243.0
53,-1.2594478535276827,-1.2021726501090466,6.296901304101778,108.0,18.0,20.0,247.0
54,-5.1189202818652575,1.4250120468496805,8.445130636007455,109.0,72.0,54.0,251.0
55,2.8401151938274283,-1.4218312894093494,6.090710759583957,3.0,18.0,11.0,252.0
56,-3.6976138563842276,1.5858633335850407,8.163758386375525,196.0,159.0,132.0,257.0
57,-4.950149363156641,1.6614391100094488,8.236289242047254,145.0,108.0,89.0,261.0
58,2.0759950074442,2.192228609995239,7.34553708541114,98.0,67.0,49.0,266.0
59,-2.8371287189599634,-1.3352787215490294,6.231827472784266,15.0,176.0,83.0,268.0
60,3.2854912950753636,1.3756014903343063,7.989214742793654,157.0,126.0,108.0,274.0
61,4.235787038271795,2.400306683715812,7.010062240814899,191.0,161.0,137.0,279.0
62,-0.07099808201157598,1.9051896921238527,7.722549947233496,172.0,142.0,118.0,280.0
63,2.621895343682496,-1.3175124609499766,6.173356357975445,189.0,201.0,189.0,281.0
64,0.5103635267178827,2.6205400578912874,7.09339433771882,169.0,137.0,116.0,284.0
65,0.3581916819994777,3.1616622727391293,6.6806961538516925,139.0,101.0,82.0,289.0
66,3.643160155920278,1.062082435346625,8.103767115314392,145.0,113.0,98.0,290.0
67,2.73939092816417,-1.445691208984485,6.104506068627494,18.0,39.0,30.0,292.0
68,0.35173358519706743,1.1916038953811074,8.145517692197565,154.0,112.0,90.0,293.0
69,-3.592168000156324,1.7423121194216697,8.072816714359632,125.0,88.0,69.0,294.0
70,1.140718217902877,1.7324027634601222,7.752349100669282,199.0,160.0,131.0,295.0
71,-1.936186687911899,2.5079165425707246,7.3295840473012515,133.0,98.0,79.0,299.0
72,2.566152182261514,-1.5300686106323886,6.030455865579698,142.0,31.0,37.0,304.0
73,-2.479596135592936,2.2879354224053032,7.559817382893501,145.0,116.0,98.0,305.0
74,2.3984106151151154,-1.576912636567082,5.993211837400404,132.0,25.0,33.0,315.0
75,5.090418437445407,0.95369127025,7.972971323084285,151.0,116.0,96.0,317.0
76,1.513356198020406,-2.402378727230797,6.571064157204668,219.0,232.0,248.0,319.0
77,4.253293565164923,1.327095922795489,7.825392084721138,149.0,118.0,100.0,320.0
78,-1.440268782379262,-0.8212459957098637,6.583319301883004,92.0,3.0,5.0,321.0
79,2.7576252909976335,2.607871728243162,6.97549442030071,130.0,101.0,87.0,322.0
80,2.694746902949502,-1.3580363952197192,6.14076713376059,192.0,204.0,192.0,323.0
81,-1.4485945604046633,1.4085166915859821,8.15179238920111,124.0,91.0,76.0,326.0
82,-0.20235435796095563,1.3833219366687153,8.097030143033857,180.0,134.0,108.0,327.0
83,-1.8960081460371216,-1.115720387307524,6.35978625279625,59.0,0.0,4.0,328.0
84,0.15102321197929522,2.7135899552199247,7.024200240820101,174.0,139.0,119.0,332.0
85,-4.258488191160758,1.8531360830796413,8.03148510255963,184.0,147.0,118.0,333.0
86,-1.2321557706378188,-0.9080376070833632,6.51086182020508,81.0,1.0,2.0,336.0
87,0.6138921321511067,1.8316181933421483,7.706051801744903,192.0,153.0,122.0,345.0
88,-0.7452795583183278,1.7281422346016038,7.865189232058529,74.0,51.0,35.0,346.0
89,0.6153663288092975,1.8985328774329446,7.65346688676854,109.0,81.0,69.0,349.0
90,-0.9413035967855033,1.6176630525563205,7.988758800294533,195.0,159.0,133.0,350.0
91,-0.8593783724650165,2.7008060837337604,7.115892119248669,161.0,126.0,107.0,363.0
92,0.3940841786127064,1.6709388214396097,7.850589773227946,150.0,108.0,86.0,364.0
93,2.173897878729996,0.45550481487265326,7.646503404794761,68.0,34.0,25.0,369.0
94,3.06787036033937,2.5072726616983934,7.046114294055856,179.0,148.0,127.0,374.0
95,-1.2829560320565205,-1.0233134856089967,6.427439427983293,88.0,9.0,14.0,379.0
96,-4.879440950756374,1.209010256849772,8.571426313814113,138.0,100.0,77.0,380.0
97,4.044359101892053,1.7429469195415004,7.523162431210318,121.0,98.0,84.0,382.0
98,-1.3772586735355,-1.018683681450348,6.422420840722338,163.0,197.0,232.0,384.0
99,0.9493090188714868,1.4773812541390798,7.955546197706447,176.0,130.0,104.0,401.0
100,-1.898580621142822,-1.1041987490755856,6.363378391843754,109.0,23.0,26.0,409.0
101,2.395638079654385,-1.302454142960372,6.189205959926579,186.0,199.0,169.0,414.0
102,-1.4058723649302156,-0.9885311435513188,6.444240193996062,163.0,202.0,235.0,416.0
103,-1.52999118005402,-1.1168844868929413,6.356295011727787,242.0,223.0,242.0,426.0
104,1.0685731612168414,1.539350243615744,7.912071764656899,166.0,125.0,97.0,430.0
105,2.724389061574929,-1.489676336027767,6.072843041832203,0.0,16.0,5.0,439.0
106,4.013203543552934,3.218734738097136,6.362699880098677,158.0,123.0,103.0,447.0
107,-3.0732831856375356,2.1751788037395996,7.692069161878109,196.0,165.0,137.0,448.0
108,2.2199101822329492,1.9656230571647701,7.49799191266318,120.0,91.0,73.0,450.0
109,-0.913880201831598,-1.3119859506843239,6.218275376720655,217.0,211.0,223.0,455.0
110,-1.3443207721262895,-1.1744422326323443,6.313697775538514,206.0,201.0,233.0,456.0
111,2.9720196891033246,-1.3338240850314131,6.170818013552629,6.0,26.0,14.0,457.0
112,-1.1934585611147808,-0.3156940339635373,6.992573734582623,86.0,15.0,21.0,460.0
113,-4.251586194432283,1.3425914212011714,8.376352900974371,196.0,160.0,134.0,461.0
114,-5.263124180142518,1.10695266904677,8.663979902819158,180.0,147.0,128.0,464.0
115,-1.4495392983630466,-1.074645893653465,6.379137270042458,81.0,3.0,1.0,475.0
116,-0.6364771715842655,1.3875482893153108,8.111869723119554,146.0,103.0,86.0,478.0
117,0.3379007168075548,1.5971368274138869,7.882000358748704,199.0,160.0,129.0,487.0
118,1.9175979515642079,3.1329563011840524,6.595148620513364,170.0,135.0,116.0,488.0
119,3.7444718221725286,2.1286667662687586,7.2576078896643,148.0,113.0,94.0,498.0
120,-0.20630542054317186,3.1421308760081907,6.720971103784987,166.0,128.0,105.0,499.0
121,-1.4933777351319977,-1.0386065279456143,6.414350435768211,123.0,28.0,32.0,506.0
122,-0.8473431732705269,-1.245903666441899,6.261275077599134,81.0,0.0,1.0,511.0
123,2.1803299369932745,3.1979160522948566,6.541636803527355,47.0,29.0,25.0,515.0
124,-1.0616256917636446,-1.1732708888892065,6.315163827933084,180.0,195.0,218.0,516.0
125,1.8999150681156691,3.1251435501163356,6.597288128262862,181.0,146.0,127.0,519.0
126,3.745391902868229,2.0834141204787073,7.333398390867586,176.0,144.0,123.0,521.0
127,-0.8473431732705269,-1.245903666441899,6.261275077599134,81.0,0.0,1.0,529.0
128,2.1324583101227366,-1.2840279038575233,6.198760212245216,180.0,192.0,168.0,532.0
129,0.3615100614928784,2.1558990393570117,7.497337510288372,111.0,93.0,83.0,539.0
130,3.8673639598630576,2.323476520164998,7.119738705512086,129.0,100.0,84.0,549.0
131,-1.5194642939720133,-1.0322679747368084,6.4160474279582695,210.0,226.0,249.0,550.0
132,-1.2594478535276827,-1.2021726501090466,6.296901304101778,108.0,18.0,20.0,553.0
133,2.8551721649267816,2.4411507773021097,7.154079452574693,196.0,161.0,141.0,558.0
134,2.7859418889723813,-0.6814955626955572,6.671189429246714,152.0,84.0,39.0,559.0
135,2.5250410339253664,-1.5415161299200624,6.0257164747886565,185.0,197.0,185.0,562.0
136,-1.1459197692897518,-1.296625187416545,6.2258398060229805,216.0,218.0,230.0,563.0
137,1.2664837715673538,-2.1821762831928244,6.399475572361341,97.0,133.0,147.0,564.0
138,-2.4814190671867604,1.2229959551354816,8.389540888627604,135.0,94.0,72.0,568.0
139,1.8267469552850226,-1.4871232059141704,6.061360259432657,135.0,22.0,24.0,569.0
140,1.6053385883016056,1.4762853988636986,7.86361199279185,127.0,94.0,75.0,575.0
141,0.7124009962522109,1.651702070755438,7.788476961772819,132.0,91.0,71.0,577.0
142,4.971325360141397,1.393357868224853,7.776187097893254,188.0,156.0,133.0,587.0
143,0.3821897910908809,-0.2366938520973135,7.074682200113436,2.0,153.0,46.0,591.0
144,2.839626132480244,-0.6186322693566471,6.718770431768262,79.0,161.0,50.0,594.0
145,0.9385146626640858,-2.544332310370485,6.746542849397482,115.0,135.0,110.0,598.0
146,0.6492048048532795,1.5130529098356735,7.956545958475684,178.0,137.0,107.0,600.0
147,-1.2002617844052819,-1.1510425010996315,6.320333881217662,88.0,0.0,3.0,601.0
148,2.698452946836307,-1.456866889583357,6.087477283538807,180.0,198.0,176.0,607.0
149,3.5544018264540034,2.5079649156637562,7.043956184581244,140.0,109.0,91.0,609.0
150,-1.7607061926301146,2.5296991025691256,7.330885168548271,183.0,148.0,126.0,614.0
151,1.663884484093929,1.8766778329659928,7.577675288889106,103.0,70.0,55.0,618.0
152,2.490013082419975,2.446130224931702,7.175325877912001,169.0,133.0,111.0,625.0
153,0.775838802670922,-1.4003103185577817,6.152375561243951,10.0,0.0,0.0,633.0
154,0.41454520022209357,-0.8522901028568116,6.559023839781025,129.0,68.0,14.0,638.0
155,0.8490800185453492,-1.1897479857779272,6.278166471280681,30.0,3.0,0.0,640.0
156,-1.0366798741196528,-1.148775902384691,6.330658883428645,191.0,211.0,238.0,643.0
157,2.5364622149195504,-1.3558059628271038,6.149012631991894,2.0,32.0,22.0,654.0
158,4.80752739994177,1.8944749537636343,7.3974135616157595,197.0,166.0,146.0,655.0
159,2.0461861825360086,-1.5600117192234673,6.011084374925474,138.0,21.0,29.0,662.0
160,0.781764365117436,-2.130654683328625,6.368675106275779,204.0,209.0,215.0,665.0
161,2.5364622149195504,-1.3558059628271038,6.149012631991894,2.0,32.0,22.0,668.0
162,2.1096470031633743,-1.3497316991791304,6.153617961988462,183.0,195.0,181.0,678.0
163,-0.614507464919174,1.7596110144748314,7.842459108949209,193.0,152.0,124.0,687.0
164,2.638943751097749,-1.4322084984180832,6.112310441239408,168.0,187.0,159.0,690.0
165,-1.2289971620684916,-1.0571265438500528,6.401229150042694,93.0,12.0,18.0,691.0
166,-0.716214037618356,-1.8836239171129492,6.240300685996857,100.0,188.0,140.0,693.0
167,-1.380819465123987,1.7313293829044243,7.911824428986789,179.0,143.0,119.0,695.0
168,0.11340273436497786,1.4899043471844513,7.9719028904424345,193.0,148.0,119.0,699.0
169,2.8939264949124937,-1.3363124024584028,6.173803575398426,191.0,200.0,173.0,701.0
170,5.038930854899997,1.0158287232548149,8.140025798868706,103.0,77.0,64.0,703.0
171,-0.9705788109858462,-2.3336874656313484,6.630537533474095,251.0,241.0,91.0,711.0
172,-4.228569590203928,1.7822144526576795,8.093811790686777,155.0,118.0,99.0,712.0
173,-1.3196528845040603,-1.3240825860412737,6.204196768935815,167.0,38.0,42.0,719.0
174,2.0614140303817816,3.1606159132794462,6.571149155154537,147.0,115.0,92.0,721.0
175,-1.1459197692897518,-1.296625187416545,6.2258398060229805,216.0,218.0,230.0,724.0
176,2.8552357790411484,3.132899669346876,6.53895006759205,167.0,134.0,115.0,729.0
177,-1.2208947923494076,-1.2365346774968418,6.271287985528772,187.0,203.0,228.0,731.0
178,3.0739518447266554,0.9480888302397091,8.018770358963419,127.0,111.0,96.0,732.0
179,3.77748837157823,1.5541451179102455,7.720570128916287,199.0,168.0,148.0,736.0
180,4.46837587716022,1.9420247291589208,7.325953570092261,172.0,142.0,118.0,739.0
181,-0.900294109399682,-1.2497391409290983,6.261537825542017,92.0,7.0,14.0,746.0
182,4.112282142632945,1.041814167530454,7.896624433271832,120.0,87.0,70.0,750.0
183,1.789982510609806,2.381369317722174,7.2233454791827505,131.0,94.0,76.0,754.0
184,2.3189093422165654,2.4468922858685325,7.123950086852378,102.0,75.0,68.0,756.0
185,2.352819188653443,2.9158227572293547,6.754483653373953,163.0,131.0,116.0,758.0
186,-1.0818073612764696,-1.2849082726002854,6.232331921604866,203.0,208.0,211.0,764.0
187,0.06186772202454496,-2.2198430102809947,6.47977861743495,79.0,94.0,51.0,774.0
188,-2.7461872510060372,-1.2397445307073434,6.303834317971689,0.0,105.0,16.0,777.0
189,2.930975393561896,-1.4810213756780937,6.079422043061639,7.0,25.0,13.0,778.0
190,-1.5839653785433594,1.8080149267245198,7.862410233138157,201.0,163.0,140.0,779.0
191,-2.537677926757952,-1.3535857875796216,6.178796109389101,174.0,221.0,227.0,781.0
192,-0.5758242395859897,1.5815912168305786,7.9563813167532516,144.0,109.0,89.0,786.0
193,-1.0438308072029407,-1.2713622891225476,6.234069216659116,170.0,210.0,236.0,792.0
194,0.34230578006257634,2.759073495591365,7.026329064294584,147.0,106.0,84.0,793.0
195,1.649524736410658,1.8223365965736436,7.6315794619720405,185.0,141.0,112.0,796.0
196,2.8277516233184365,-1.4507713191670852,6.077277907324708,32.0,48.0,35.0,799.0
197,-0.031484913681273465,1.701326236309845,7.812383710314495,180.0,143.0,117.0,802.0
198,2.7825622667833994,-1.2775290439596543,6.2244694947687185,187.0,201.0,178.0,803.0
199,2.4749331383613757,-1.5929613243083087,5.997845052686696,147.0,24.0,27.0,809.0
200,4.423984104431342,1.818904352550675,7.501352224195767,202.0,174.0,152.0,814.0
201,-2.7638986147751763,-1.4262657297800545,6.168705258176808,3.0,159.0,76.0,816.0
202,2.566004051245001,-1.2250205843892703,6.247939069877489,183.0,197.0,182.0,818.0
203,-1.1663301336209275,-1.1147447140956421,6.3523524049756155,93.0,3.0,12.0,820.0
204,-2.6640784548306495,-1.3670651531674425,6.189389682376021,3.0,175.0,75.0,825.0
205,2.447675094861597,-1.3560191081015347,6.169136987304346,17.0,38.0,29.0,826.0
206,0.7588655818627708,2.28312729023165,7.384852032517039,179.0,150.0,136.0,829.0
207,-1.356805387625963,-1.0875620359449663,6.374939011441087,117.0,25.0,28.0,831.0
208,2.292375965555231,1.7501162862366566,7.661496268795579,89.0,62.0,45.0,834.0
209,-0.866840293088007,-1.266543298835667,6.255039653397825,109.0,16.0,27.0,836.0
210,2.2730572105573383,-1.0302591359312954,6.394393930151461,194.0,216.0,195.0,840.0
211,2.799472578116021,-1.5102852479562832,6.051419046598337,186.0,201.0,182.0,848.0
